Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,postAd_lblL3CategoryError3.0,the validation error of L2 category when unselected,xpath,"//div[@class='category-selection']/div[3]//span[@class='icon-category-arrow-red']"
All,All,Label,postAd_lblCarMakeError,the validation error of car brand select,xpath,"//select[(@name='AlmVehicleBrand' or @name='CarMake') and @class='edit-ad-select-box validation-error']"
All,All,Label,postAd_lblCarModelError,the validation error of car model select,xpath,"//select[(@name='AlmVehicleModel' or @name='CarModel') and @class='edit-ad-select-box validation-error']"
All,All,Label,postAd_lblCarYearError,the textfield of car year,xpath,"//div[@data-field='CarYear']//input[contains(@class,'validation-error')]"
All,All,Label,postAd_lblCarKmsError,the textfield of car kms,xpath,"//div[@data-field='CarMileageInKms']//input[contains(@class,'validation-error')]"
All,All,Label,postAd_lblJobType,the job type select list,xpath,"//select[@name='JobType']"
All,All,Label,postAd_lblJobType3.0,the job type select list,xpath,"//div[contains(text(),'Empleo') or contains(text(),'Job')]/../..//select"
All,All,Label,postAd_lblJobTypeError,the validation error of job type select,xpath,"//select[@class='edit-ad-select-box validation-error' and @name='JobType']"
All,All,Label,postAd_lblJobTypeError3.0,the validation error of job type select,xpath,"//div[contains(text(),'Empleo')]/..//span[@class='icon-valid-false']"
All,All,Label,postAd_lblHouseType,the house type select list,xpath,"//select[@name='DwellingType']"
All,All,Label,postAd_lblHouseType3.0,the house type brand label,xpath,"//div[contains(text(),'Tipo') or contains(text(),'Dwelling')]"
All,All,TextField,postAd_txfHouseType3.0,the house type brand,xpath,"//div[contains(text(),'Tipo') or contains(text(),'Dwelling')]/../..//select"
All,All,Label,postAd_lblHouseTypeCasa,casa of house type brand,xpath,"//option[@value='house']"
All,All,Label,postAd_lblHouseTypeOptional3.0,the house type brand status,xpath,"//div[contains(text(),'Tipo') or contains(text(),'Dwelling')]/../div[@class='status']/span[@class='optional']"
All,All,Label,postAd_lblHouseTypeRequired3.0,the house type brand status,xpath,"//div[contains(text(),'Tipo') or contains(text(),'Dwelling')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblHouseTypeValidTrue3.0,the house type brand status,xpath,"//div[contains(text(),'Tipo') or contains(text(),'Dwelling')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblHouseTypeValidFalse3.0,the house type brand status,xpath,"//div[contains(text(),'Tipo') or contains(text(),'Dwelling')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,TextField,postAd_txfProduct3.0,theproduct,xpath,"//div[contains(text(),'Producto')]/../..//select"
All,All,Label,postAd_lblHouseTypeError,the validation error of house type select,xpath,"//select[@class='edit-ad-select-box validation-error' and @name='DwellingType']"
All,All,Label,postAd_lblBedroom,the bedroom number select list,xpath,"//select[@name='NumberBedrooms']"
All,All,Label,postAd_lblBedroom3.0,the bedroom brand label,xpath,"//div[contains(text(),'Recámara') or contains(text(),'Bedrooms')]"
All,All,Label,postAd_lblBedroomRequired3.0,the bedroom brand status,xpath,"//div[contains(text(),'Recámara') or contains(text(),'Bedrooms')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblBedroomValidTrue3.0,the bedroom brand status,xpath,"//div[contains(text(),'Recámara') or contains(text(),'Bedrooms')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblBedroomValidFalse3.0,the bedroom brand status,xpath,"//div[contains(text(),'Recámara') or contains(text(),'Bedrooms')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,TextField,postAd_txfBedroom3.0,the bedroom brand,xpath,"//div[contains(text(),'Recámara') or contains(text(),'Bedrooms')]/../..//select"
All,All,TextField,postAd_txfBedroom3_3.0,the bedroom brand,xpath,"//div[contains(text(),'Recámara') or contains(text(),'Bedrooms')]/../..//select/option[@value='3']"
All,All,Label,postAd_lblBedroomError,the validation error of bedroom number select,xpath,"//select[@class='edit-ad-select-box validation-error' and @name='NumberBedrooms']"
All,All,Label,postAd_lblBathroom,the bathroom number select list,xpath,"//select[@name='NumberBathrooms']"
All,All,Label,postAd_lblBathroom3.0,the bathroom brand label,xpath,"//div[contains(text(),'Baños') or contains(text(),'Bathrooms')]"
All,All,Label,postAd_lblBathroomRequired3.0,the bathroom brand status,xpath,"//div[contains(text(),'Baños') or contains(text(),'Bathrooms')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblBathroomValidTrue3.0,the bathroom brand status,xpath,"//div[contains(text(),'Baños') or contains(text(),'Bathrooms')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblBathroomValidFalse3.0,the bathroom brand status,xpath,"//div[contains(text(),'Baños') or contains(text(),'Bathrooms')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,TextField,postAd_txfBathroom3.0,the bathroom brand,xpath,"//div[contains(text(),'Baños') or contains(text(),'Bathrooms')]/../..//select"
All,All,TextField,postAd_txfBathroom2_3.0,the bathroom brand,xpath,"//div[contains(text(),'Baños') or contains(text(),'Bathrooms')]/../..//select/option[@value='20']"
All,All,Label,postAd_lblBathroomError,the validation error of bathroom number select,xpath,"//select[@class='edit-ad-select-box validation-error' and @name='NumberBathrooms']"
All,All,Label,postAd_lblHouseSaleBy,house for sale by select list,xpath,"//select[@name='DwellingForSaleBy']"
All,All,Label,postAd_lblHouseSaleBy3.0,house for sale by select list,xpath,"//div[contains(text(),'Vendedor(a)') or contains(text(),'Sale By')]/../..//select"
All,All,Label,postAd_lblHouseRentBy3.0,the house for rent by brand label,xpath,"//div[contains(text(),'Arrendador') or contains(text(),'Rent')]"
All,All,Label,postAd_lblHouseRentByRequired3.0,the house for rent by brand status,xpath,"//div[contains(text(),'Arrendador') or contains(text(),'Rent')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblHouseRentByOptional3.0,the house for rent by brand status,xpath,"//div[contains(text(),'Arrendador') or contains(text(),'Rent')]/../div[@class='status']/span[@class='optional']"
All,All,Label,postAd_lblHouseRentByValidFalse3.0,the house for rent by brand status,xpath,"//div[contains(text(),'Arrendador') or contains(text(),'Rent')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,Label,postAd_lblHouseRentByValidTrue3.0,the house for rent by brand status,xpath,"//div[contains(text(),'Arrendador') or contains(text(),'Rent')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,TextField,postAd_txfHouseRentBy3.0,the house for sale by brand,xpath,"//div[contains(text(),'Arrendador') or contains(text(),'Rent')]/../..//select"
All,All,Label,postAd_lblCarSaleBy,car for sale by select list,xpath,"//select[@name='ForSaleBy']"
All,All,Label,postAd_lblForSaleBy3.0,car for sale by select list,xpath,"//div[contains(text(),'For Sale By')]"
All,All,TextField,postAd_txfForSaleBy3.0,car for sale by label,xpath,"//div[contains(text(),'For Sale By')]/../..//select"
All,All,Label,postAd_txfForSaleByOwner,car for sale by owner label,xpath,"//option[@value='ownr']"
All,All,Label,postAd_lblForSaleByRequired3.0,the car for sale by status,xpath,"//div[contains(text(),'For Sale By')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblForSaleByValidTrue3.0,the car for sale by status,xpath,"//div[contains(text(),'For Sale By')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblForSaleByValidFalse3.0,the car for sale by status,xpath,"//div[contains(text(),'For Sale By')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,Label,postAd_lblSeller3.0,the car seller label,xpath,"//div[contains(text(),'Vendedor')]"
All,All,Label,postAd_lblCarSellerOptional3.0,the car seller status,xpath,"//div[contains(text(),'Vendedor')]/../div[@class='status']/span[@class='optional']"
All,All,Label,postAd_lblCarSellerValidTrue3.0,the car seller status,xpath,"//div[contains(text(),'Vendedor')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,TextField,postAd_txfCarSeller3.0,the car seller,xpath,"//div[contains(text(),'Vendedor')]/../..//select"
All,All,Label,postAd_lblCarBodyType,car body type by select list,xpath,"//select[@name='CarBodyType']"
All,All,Label,postAd_lblCarBodyType3.0,car body type by select list,xpath,"//div[contains(text(),'Body')]"
All,All,TextField,postAd_txfCarBodyType3.0,car body type by select list,xpath,"//div[contains(text(),'Body')]/../..//select"
All,All,Label,postAd_lblCarBodyTypeRequired3.0,the car body type status,xpath,"//div[contains(text(),'Body')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblCarBodyTypeValidTrue3.0,the car body type status,xpath,"//div[contains(text(),'Body')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblCarBodyTypeValidFalse3.0,the car body type status,xpath,"//div[contains(text(),'Body')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,Label,postAd_lblCarTransmission,car transmission by select list,xpath,"//select[@name='CarTransmission']"
All,All,Label,postAd_lblCarTransmission3.0,car transmission by select list,xpath,"//div[contains(text(),'Transmission')]"
All,All,TextField,postAd_txfCarTransmission3.0,car transmission by select list,xpath,"//div[contains(text(),'Transmission')]/../..//select"
All,All,Label,postAd_lblCarTransmissionRequired3.0,the car transmission status,xpath,"//div[contains(text(),'Transmission')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblCarTransmissionValidTrue3.0,the car transmission status,xpath,"//div[contains(text(),'Transmission')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblCarTransmissionValidFalse3.0,the car transmission status,xpath,"//div[contains(text(),'Transmission')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,Label,postAd_lblCarFuelType,car fuel type by select list,xpath,"//select[@name='FuelType']"
All,All,Label,postAd_lblCarFuelTypeOptional3.0,the car fule type status,xpath,"//div[contains(text(),'Combustible')]/../div[@class='status']/span[@class='optional']"
All,All,Label,postAd_lblCarFuelTypeValidTrue3.0,the car fule type status,xpath,"//div[contains(text(),'Combustible')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblCarFuelType3.0,the car fule type,xpath,"//div[contains(text(),'Combustible') or contains(text(),'Fuel')]"
